이름	전화번호	그룹
노홍철	010-1234-1234	미지정
마지곤	018-3616-0777	초딩친구
천주표	017-2403-5006	대학친구
서민연	018-7260-0324	동아리
반기례	010-9813-2848	고딩친구
현칠성	019-4757-9975	회사
이저애	016-0535-5735	친구
우명지	016-699-2074	웬수
석충상	011-4092-6683	고딩친구
하자사	019-9038-0837	길드
채봉석	018-0184-9733	초딩친구
설배두	019-093-0331	회사
지정문	017-8648-7515	대학친구
표홍훈	011-9053-0636	친구
오배석	011-3901-0062	고딩친구
봉배길	011-0310-1398	고딩친구
탁성휘	018-3260-4759	초딩친구
전학우	011-3260-5518	고딩친구
방재남	018-1596-7380	초딩친구
정계화	010-9800-8345	고딩친구
도야모	010-2191-7497	미지정
이용협	011-5002-1748	고딩친구
권용호	016-9867-7796	중딩친구
김문하	019-6360-6506	온라인
윤원례	017-0861-3717	대학친구
배지철	016-0106-2850	친구
최찬응	016-2164-7934	거래처
소자산	010-5043-4220	미지정
현옥석	018-9770-7026	회사
손대안	018-3151-5691	초딩친구
남궁오병	010-0606-1207	미지정
한덕신	016-5093-4981	거래처
지향철	010-2447-7540	미지정
금철이	019-0138-1007	회사
홍양욱	017-2938-6301	대학친구
송환경	019-8482-6840	길드
우순연	011-7939-2632	친구
엄점례	018-5360-7738	동아리
소모아	016-6873-8115	웬수
복대락	019-5771-8593	온라인
최복숙	011-9158-6867	친구
장규명	016-3249-1464	거래처
류무장	010-8510-2972	가족
예익규	010-8723-1847	가족
국판희	010-5213-7497	미지정
현수정	018-5590-3615	동아리
선지원	010-2520-3135	미지정
강성돌	018-9452-3995	회사
양성돈	019-1456-0170	회사
황규모	010-5345-6996	미지정
추정빈	010-0191-2368	미지정
추진문	011-7303-5663	친구
임동익	010-6184-6483	미지정
송벽경	010-9404-6437	가족
계흥연	010-9564-4169	고딩친구
박전무	018-2491-1221	초딩친구
육규배	016-5737-7981	웬수
진수한	017-2640-5171	대학친구
장만규	011-8756-2173	친구
음임자	010-043-0206	미지정
어소련	018-5903-3796	동아리
함의순	016-1346-3331	친구
예완우	011-5101-1743	고딩친구
여규용	018-490-4724	동아리
안철웅	017-1136-2821	대학친구
윤옥녕	019-5453-1632	온라인
문은탑	018-0851-5429	초딩친구
황국표	017-6558-3997	대학친구
변명엽	011-7921-4977	친구
탁홍각	019-5155-3325	온라인
황보만례	016-6992-5790	웬수
이몽용	016-8753-2746	중딩친구
예경난	010-5788-3130	미지정
제갈흥례	019-8219-0002	온라인
황수덕	018-9487-2724	회사
송강아	016-6136-7805	웬수
조봉군	017-6152-0741	대학친구
강명옥	016-4144-3820	거래처
재희옥	018-1376-1818	초딩친구
맹신균	011-3355-9176	고딩친구
염금휘	017-6806-4308	대학친구
제갈선호	019-9272-4290	길드
선우구현	018-0347-6747	초딩친구
유영히	017-1432-0030	대학친구
심민제	017-6882-7019	대학친구
국남영	010-3169-1130	미지정
채해숙	016-2473-6188	거래처
서대영	018-1194-9789	초딩친구
표찬일	017-9376-8047	대학친구
남권오	018-6216-7530	동아리
전동거	017-5928-0581	대학친구
염창식	019-8035-5264	온라인
은철운	018-4445-0988	초딩친구
홍오자	016-6289-9739	웬수
추승열	010-8932-7663	가족
감치홍	019-4903-1446	회사
양세학	018-7053-6917	동아리
기근수	019-1103-1964	회사
권민연	011-4244-6340	고딩친구
황보정심	017-9699-8513	대학친구
김옥출	017-5165-4977	대학친구
인두안	018-7698-0125	동아리
육선국	011-5913-0948	고딩친구
추효창	019-7444-6982	온라인
선우미강	010-4427-3081	미지정
성유희	010-1372-8943	미지정
엄채유	011-3908-6422	고딩친구
민희예	011-0712-5359	고딩친구
신복림	019-9011-1613	길드
홍보용	011-0701-1231	고딩친구
석휘자	019-7334-6261	온라인
권학문	018-309-6197	초딩친구
육은헤	016-4353-5537	거래처
오군필	019-7096-0216	온라인
임선화	016-5412-8314	웬수
원세인	019-237-4921	회사
함후근	016-6856-5753	웬수
배남식	018-8668-1003	동아리
라강언	016-5460-8272	웬수
부새인	011-166-9446	고딩친구

